Name,Age,Gender,Hours_Studied,IQ,Physics_Marks,Math_Marks,Chemistry_Marks,Has_Part_Time_Job,Study_Hours_Group
Robert Thomas,25,Female,8.240431369,121,56,92,69,TRUE,High
Corey Ward,42,Male,3.367331502,82,92,89,81,FALSE,Low
James Mclean,32,Male,8.560568142,123,54,88,97,FALSE,High
Kevin Franklin,45,Male,7.196376174,135,75,71,88,FALSE,High
Mike Cantu,37,Male,6.72992142,103,92,100,61,FALSE,High
Michael Johnson,39,Male,6.936395465,136,43,95,63,TRUE,High
Richard Leon,29,Female,6.784781264,115,100,40,85,TRUE,High
Courtney Cook,33,Female,1.100411829,114,60,46,100,TRUE,Low
Anthony Coleman,31,Male,3.011972191,81,94,98,40,FALSE,Low
Christina Holt,23,Male,8.806861451,87,90,78,47,FALSE,High
Sabrina Estes,40,Female,3.296626423,106,59,66,78,TRUE,Low
Dylan Fernandez,35,Male,6.485100501,82,89,86,75,FALSE,High
Tyler Figueroa MD,39,Female,4.515786313,119,64,85,55,FALSE,Low
Christy Brown,20,Female,9.394950786,111,44,96,85,FALSE,High
Adam Hayes,18,Female,5.642466447,139,86,75,78,TRUE,High
Kenneth Medina,34,Female,3.049019709,132,94,83,40,TRUE,Low
Alexis Ramirez,29,Male,3.066413202,133,61,78,76,TRUE,Low
Joseph Rocha,41,Female,3.042765423,82,90,64,59,TRUE,Low
Lisa Martin,37,Female,6.162061769,102,90,64,86,FALSE,High
Cindy Duran,38,Female,4.246337289,147,95,72,91,FALSE,Low
Autumn Moore,25,Male,4.39691741,97,95,79,48,FALSE,Low
Jessica Bishop,31,Male,6.311163109,99,61,42,70,TRUE,High
Brad Kelley,18,Female,5.436118003,137,50,47,70,TRUE,High
Tyler Kim,20,Female,2.09532426,80,92,94,42,FALSE,Low
James Peterson,28,Male,9.175396556,142,66,59,83,FALSE,High
Karen Harrison,36,Female,1.695478429,128,87,46,42,FALSE,Low
Lisa Cruz,29,Female,9.056765303,148,53,83,59,TRUE,High
Derek Hughes,34,Female,7.443751356,138,89,85,61,TRUE,High
Kevin Murray,19,Female,5.569704674,141,55,73,72,FALSE,High
Tanya Carter,20,Female,5.340314149,118,92,68,59,FALSE,High
Nicole Peterson,36,Female,7.323994265,130,66,84,99,TRUE,High
Melissa Buckley,41,Female,1.194271415,113,93,85,90,TRUE,Low
Susan Ellis,38,Male,9.219775094,135,45,76,80,FALSE,High
Mark Todd,20,Male,6.242093164,149,86,72,53,TRUE,High
Troy Watson,30,Male,6.309960799,82,93,86,88,TRUE,High
Erin Perry,25,Female,1.716661652,143,85,96,98,TRUE,Low
John Rollins,36,Male,3.303116681,88,40,46,57,FALSE,Low
Rebecca Zimmerman,35,Female,3.602202416,97,56,100,63,TRUE,Low
Christopher Garcia,20,Female,8.431339266,87,52,94,56,TRUE,High
Abigail Lee,35,Male,9.409954708,111,89,100,77,TRUE,High
Erica Cochran,29,Female,2.010694576,83,50,50,88,FALSE,Low
James Daniel MD,27,Male,1.332226731,145,85,43,87,FALSE,Low
Dustin Porter,36,Male,9.603446532,140,68,47,61,FALSE,High
Darren Nguyen,35,Female,3.898698345,83,45,74,61,FALSE,Low
Travis Baker,39,Female,9.04885823,97,92,82,83,FALSE,High
Martin Collins,19,Male,3.625560624,141,72,74,60,TRUE,Low
Renee Williams,31,Female,9.662957009,138,91,65,70,TRUE,High
Jeffrey Townsend,23,Female,4.078912276,112,81,100,54,TRUE,Low
Margaret Case,36,Male,7.887117705,107,88,56,42,TRUE,High
Jason Hammond,41,Male,5.931222529,81,71,99,40,TRUE,High
Jacob Huffman,18,Female,2.661297872,127,65,98,64,FALSE,Low
Jose Gordon,21,Male,9.643544554,141,63,53,55,TRUE,High
Karen Warner,24,Female,7.245852629,88,88,70,46,FALSE,High
Phillip Vazquez,40,Male,2.96192998,131,64,59,71,TRUE,Low
Miguel Lane,26,Female,6.66649442,123,49,64,99,FALSE,High
James Hoover,26,Female,4.808186474,150,82,59,42,TRUE,Low
Leslie Santiago,35,Male,3.01974686,81,78,97,94,FALSE,Low
Jamie Walker,37,Male,4.374539367,147,54,42,55,FALSE,Low
Danny Daugherty,31,Female,7.378467996,99,57,72,43,FALSE,High
Rebekah Butler,28,Male,5.323487807,83,53,40,70,FALSE,High
Kathy Alexander,23,Female,1.774918503,123,50,90,75,TRUE,Low
William Cook,38,Female,5.702470103,132,45,52,58,FALSE,High
Mackenzie Lawrence,30,Male,8.793442078,95,94,50,44,FALSE,High
Jeremy Foster,23,Female,8.627236456,138,90,70,50,TRUE,High
Nicole Boyle,30,Male,9.779930084,97,71,94,97,FALSE,High
Brandon Silva,35,Male,6.85393654,103,90,51,41,FALSE,High
Charles Wilson,44,Female,3.43176182,147,85,73,98,FALSE,Low
Sarah Harris,28,Male,8.191834335,101,98,64,50,TRUE,High
Douglas Price,44,Female,2.484742258,116,87,86,81,TRUE,Low
Elizabeth Lewis,28,Male,5.485027679,82,94,89,86,TRUE,High
Elizabeth Santos,41,Male,1.560635146,101,82,49,45,FALSE,Low
Andrea Bentley,44,Male,2.034469418,100,84,92,54,FALSE,Low
Robert Thomas,41,Female,2.858349956,127,80,42,82,FALSE,Low
Daniel Acevedo,23,Female,4.010751982,131,65,59,81,FALSE,Low
Scott Adams,21,Female,9.838910679,131,93,83,49,TRUE,High
Heidi Castro,19,Female,1.020612966,81,64,79,91,FALSE,Low
Adam Wheeler,36,Male,8.733128179,104,78,75,51,FALSE,High
Barry Green,44,Male,9.811913477,97,40,94,92,FALSE,High
Joshua Rios,43,Female,2.280737504,140,74,89,96,TRUE,Low
Jason Ramirez,41,Female,4.170134131,127,75,60,70,TRUE,Low
Scott Sims,28,Female,5.695488263,85,65,53,69,FALSE,High
Vanessa Rios,31,Male,4.765713559,144,67,83,54,FALSE,Low
Bradley Parks,34,Male,3.59985649,108,68,41,79,TRUE,Low
William Lewis,21,Female,5.105126178,118,43,60,54,TRUE,High
Joshua Kennedy,45,Male,2.246960876,91,97,55,100,FALSE,Low
Shelly Hobbs,35,Male,3.797561053,82,69,98,99,TRUE,Low
Angela Kline,26,Male,9.333078011,110,41,87,86,TRUE,High
Christopher Campbell,23,Female,9.592448457,138,54,66,70,TRUE,High
Kara Bryant,23,Female,7.732821189,126,55,48,82,TRUE,High
Terry Evans,33,Male,1.134201098,103,96,43,43,FALSE,Low
Brian House,24,Female,6.92256351,115,72,91,64,FALSE,High
Claudia Harris,20,Male,3.725523667,90,64,47,68,TRUE,Low
Justin Harris,28,Male,9.718104719,91,73,68,96,FALSE,High
Diane Moran,33,Female,1.687991643,86,57,52,98,TRUE,Low
David Kelley,35,Male,8.231121185,102,40,73,54,TRUE,High
James Cortez,36,Female,8.073530602,87,86,64,42,TRUE,High
Donald Simpson,28,Female,7.763847588,93,86,47,51,TRUE,High
Francisco Ramirez,27,Female,8.354580688,98,87,57,92,FALSE,High
Benjamin Singleton,23,Female,8.99903844,146,91,86,95,TRUE,High
Christina Stanley,44,Male,2.133649231,110,90,63,64,FALSE,Low
Timothy Daniel,38,Female,9.806385499,122,97,100,81,TRUE,High
Charles Hensley,42,Female,8.640266984,101,83,91,72,TRUE,High
James Gilbert,21,Male,1.690913101,110,91,64,94,TRUE,Low
Elizabeth Newton,18,Male,4.919037516,144,42,62,79,FALSE,Low
William Chang,20,Female,4.061471782,94,84,62,90,TRUE,Low
Jeffrey Wright,29,Male,6.726581979,113,73,97,79,FALSE,High
Lindsay Farrell,42,Male,9.70491704,138,63,74,59,TRUE,High
Danielle Blackwell,23,Male,9.197163782,127,77,59,51,FALSE,High
Katherine Frank PhD,18,Female,8.916394767,82,42,62,70,FALSE,High
Cindy Nichols,29,Male,2.67563693,131,97,45,92,FALSE,Low
Russell Garrison,31,Female,4.773510977,140,92,76,70,TRUE,Low
Felicia Abbott,23,Female,8.670924974,88,53,67,75,FALSE,High
Mary Keller,40,Male,4.535748357,113,63,78,60,FALSE,Low
Carmen Smith,44,Male,6.386438279,140,46,53,59,TRUE,High
Jessica Richardson,21,Female,4.470299267,81,45,51,81,TRUE,Low
William Banks,30,Male,5.83075123,96,65,95,67,FALSE,High
Christopher Patel,22,Female,7.559535601,103,55,71,46,FALSE,High
Erin Martinez,23,Male,1.882893263,142,100,44,67,TRUE,Low
Brooke Ballard,20,Female,4.300468134,101,87,77,96,FALSE,Low
Andrew Ball,38,Male,4.649451516,117,57,55,95,TRUE,Low
Jessica Townsend,36,Female,6.775925939,86,83,100,44,TRUE,High
Logan Perez,43,Female,5.505098196,89,47,89,82,FALSE,High
Reginald Huynh,22,Male,9.577915813,108,94,61,73,FALSE,High
Jessica Sandoval,34,Male,4.645938033,85,69,55,45,FALSE,Low
Brian Burns,30,Male,1.370625314,105,98,79,85,TRUE,Low
Patricia Garcia,37,Female,5.389880136,129,93,52,100,FALSE,High
Pamela Moore,23,Female,2.739474408,132,83,40,90,FALSE,Low
Nicholas Wilcox,38,Male,9.834704503,124,74,52,93,FALSE,High
Michael Sweeney,24,Female,1.50733533,134,55,60,86,TRUE,Low
Emma Fowler DDS,38,Male,2.306538795,119,81,83,58,TRUE,Low
Matthew Martin,26,Male,8.581720906,137,67,51,93,TRUE,High
Michael Johnson,37,Male,6.731588869,110,47,88,53,TRUE,High
Sarah Rose,18,Male,1.226653286,121,42,74,55,FALSE,Low
Kayla Schwartz,19,Male,9.62437118,124,48,93,88,TRUE,High
Riley Fields,43,Female,4.338397146,146,46,59,80,FALSE,Low
Emily Davis,33,Female,5.718820982,119,100,63,72,TRUE,High
Briana Hanson,22,Male,4.969551599,90,46,84,65,FALSE,Low
Raymond Mitchell,33,Female,2.117633493,100,63,55,63,TRUE,Low
David Edwards,32,Female,3.10016075,136,96,58,43,TRUE,Low
James Gonzales,20,Female,1.529474791,123,97,65,40,TRUE,Low
Stephanie Thompson,44,Male,3.822621792,116,80,49,68,TRUE,Low
Ryan Ward,26,Female,4.256750311,116,91,54,48,FALSE,Low
Amanda Ramos,26,Male,4.243487557,111,93,55,81,TRUE,Low
Nathan Simmons,38,Female,8.019299686,108,50,88,40,FALSE,High
Kenneth Gutierrez,42,Male,1.579192832,115,90,77,43,FALSE,Low
Thomas Jones,23,Male,4.262848751,150,96,92,95,TRUE,Low
Theresa Smith,37,Female,7.169249164,121,60,59,72,FALSE,High
Brandon Rogers DDS,35,Male,1.483328629,117,42,74,44,FALSE,Low
Patricia Jennings,22,Female,3.779138108,94,88,43,49,TRUE,Low
Anne Dominguez,43,Female,1.196973585,126,100,49,42,FALSE,Low
Dana Taylor,20,Female,4.079553137,100,82,57,92,FALSE,Low
Makayla Wyatt,32,Female,5.79059232,150,41,99,96,TRUE,High
Ashley Santos,27,Female,7.441460687,83,100,67,72,FALSE,High
Michael Mcintyre,29,Male,2.733225193,94,47,83,79,FALSE,Low
Randy Campbell,38,Female,1.116053566,138,78,73,40,FALSE,Low
Christopher Young,24,Male,4.147922921,101,43,99,60,TRUE,Low
Danny Robertson,30,Male,4.132794959,145,96,69,71,TRUE,Low
Matthew Lopez,26,Female,7.133650916,115,54,51,50,TRUE,High
Amber Guzman,24,Male,9.927672964,81,68,56,68,TRUE,High
Christian Rodriguez,45,Male,7.700197814,149,44,57,95,TRUE,High
Jacob Turner,25,Male,4.177168706,125,82,98,81,TRUE,Low
Keith Singleton,19,Female,1.869620624,99,79,46,43,FALSE,Low
Samantha Velez,27,Female,4.458751949,135,52,44,44,TRUE,Low
Jorge Wilson,35,Female,6.973730799,115,46,65,91,FALSE,High
Jerry Reyes,25,Female,7.976909898,82,48,70,69,FALSE,High
Christopher Garcia,39,Female,7.024298352,136,84,61,40,FALSE,High
Misty Olson,21,Male,5.563826025,83,53,43,73,FALSE,High
Nicholas Jimenez,27,Female,8.734981138,121,59,82,89,TRUE,High
Henry Callahan,19,Male,7.958207737,95,67,93,90,FALSE,High
Arthur Pierce,42,Female,5.934797697,146,88,53,99,FALSE,High
Vernon Beck,42,Female,7.268614896,106,97,68,83,FALSE,High
Mark Rivera,32,Female,3.754700245,143,100,40,80,FALSE,Low
Sean Morgan,35,Male,8.299632887,146,96,48,67,TRUE,High
Chris Russell,35,Male,2.227710813,136,71,99,72,FALSE,Low
Bill Marsh,33,Female,5.913222991,133,73,85,94,FALSE,High
William Osborne,36,Female,8.353092984,148,74,75,82,FALSE,High
Thomas Parker,34,Female,8.448449841,114,47,46,97,TRUE,High
Renee Cooke,35,Male,7.237339111,136,65,57,59,FALSE,High
Joseph Garcia,35,Male,9.776633835,94,80,79,50,FALSE,High
Wendy Griffith,27,Female,5.561306685,86,78,40,58,FALSE,High
John Cline,30,Male,3.67034135,114,58,91,44,FALSE,Low
Jessica Torres,21,Male,1.180348799,94,100,83,69,FALSE,Low
Susan Church,20,Female,5.212858705,111,99,69,85,FALSE,High
John Acosta,24,Female,6.624062447,102,73,56,56,TRUE,High
Richard Koch,39,Female,3.895980527,103,89,47,90,FALSE,Low
Patricia Reynolds,20,Female,5.54854633,133,62,79,52,TRUE,High
Gary Holland,22,Male,8.439748667,137,99,81,83,FALSE,High
Robert Waters,19,Male,2.749073227,122,67,84,42,TRUE,Low
Lisa Rowland,33,Male,7.164722933,108,60,99,91,TRUE,High
Frederick Matthews,25,Female,1.360621839,87,63,64,76,FALSE,Low
Austin Nguyen,27,Female,3.020852407,108,71,72,43,TRUE,Low
Randy Williams DDS,25,Female,1.541910794,92,41,42,83,FALSE,Low
Kevin Glover,29,Male,2.340056559,92,42,82,99,FALSE,Low
Dr. Phillip Bennett MD,29,Female,6.295885786,136,49,67,89,FALSE,High
Lauren Peterson,38,Male,5.063286765,111,42,87,94,FALSE,High
Miss Katie Christian,37,Female,8.417679882,126,70,66,58,TRUE,High
Anna Chapman,38,Female,9.288908943,140,66,48,41,TRUE,High
Nicholas Mccoy,27,Male,6.659323872,144,52,81,52,TRUE,High
Brandon Decker,37,Male,5.941863183,90,77,52,46,FALSE,High
Jacqueline Myers,22,Female,6.637718609,122,80,94,97,TRUE,High
Emma Ruiz,23,Female,9.208238647,107,84,63,85,TRUE,High
Nicole Duarte,29,Female,8.560479645,126,91,55,53,TRUE,High
Erika Rosales,25,Male,2.772954509,98,64,88,87,FALSE,Low
Danielle Adams,23,Female,5.310556436,134,84,92,79,TRUE,High
Kevin Phillips,33,Male,4.794030842,150,41,52,74,TRUE,Low
Jeremy Rodriguez,36,Female,5.800069637,86,96,75,95,TRUE,High
Keith Jordan,24,Female,7.755373371,123,62,98,60,TRUE,High
Kelly Ashley,35,Male,2.053656678,80,62,81,71,TRUE,Low
Mark Fitzpatrick,41,Male,1.908407296,128,65,62,49,TRUE,Low
Tamara Yoder,20,Female,5.543004197,127,55,67,40,FALSE,High
Wendy Wilson MD,42,Male,9.556209588,149,77,44,60,FALSE,High
Rachel Wood,32,Male,8.305274591,93,55,53,89,FALSE,High
Karen Lopez,22,Female,4.793369188,82,62,46,64,TRUE,Low
Laura Wilson,25,Male,4.957277513,144,64,97,73,FALSE,Low
John Carter,32,Male,4.240302273,106,79,67,88,FALSE,Low
Monica Price,45,Female,4.240513224,109,53,67,67,FALSE,Low
Tina Coleman,40,Male,9.991261106,125,46,94,87,TRUE,High
Jessica Farmer,43,Male,3.52784868,92,52,80,40,FALSE,Low
Kristopher Russo,45,Female,8.745692166,90,74,87,84,TRUE,High
Michael Mcgee,22,Male,8.146147228,132,44,53,100,FALSE,High
Tina Green,26,Male,1.641470165,134,41,53,80,FALSE,Low
Justin Fernandez,19,Male,7.960653089,93,98,95,63,FALSE,High
Jeffrey Christian,40,Male,5.776656509,133,47,58,77,TRUE,High
David Brown,24,Male,6.147730772,100,41,43,79,FALSE,High
Mikayla Brown,42,Male,3.22306423,139,79,42,46,FALSE,Low
Mr. Jerry Cochran,39,Female,1.080985737,102,69,58,46,FALSE,Low
John Larson,18,Female,3.810239284,145,99,92,46,FALSE,Low
Audrey Williams,24,Male,9.206685622,110,89,57,52,FALSE,High
Samantha Wells,30,Female,1.942335625,83,50,76,87,FALSE,Low
John Wallace,31,Female,7.769656518,120,91,91,95,TRUE,High
Connie Moore,32,Female,7.348496052,116,98,77,48,FALSE,High
Kaitlin Thompson,28,Male,3.326802737,97,63,97,73,FALSE,Low
Nicole Cortez,19,Female,5.258478936,100,60,58,70,TRUE,High
Sean Farley,42,Female,1.779172562,105,54,69,79,TRUE,Low
John Clark,25,Female,5.873808546,94,80,93,47,TRUE,High
Stephen Pacheco,34,Male,3.887470596,146,97,54,68,TRUE,Low
James Anderson,24,Male,7.123599435,114,56,97,62,TRUE,High
Darius Walker,27,Male,6.80441637,87,72,88,60,TRUE,High
Keith Gomez,44,Male,9.868252246,108,51,59,60,TRUE,High
Robert Miller,30,Male,9.534826882,111,87,67,52,TRUE,High
Christopher Boyd,20,Female,8.232550802,110,66,52,94,FALSE,High
Ryan Spence,31,Male,6.237484722,87,87,57,65,TRUE,High
Noah Dennis,25,Female,3.680020653,104,90,82,68,TRUE,Low
Nicole Pace,26,Male,7.25031102,114,43,99,74,FALSE,High
Jeffery Long,23,Female,3.19403514,80,47,57,63,TRUE,Low
Jay Davis,42,Male,4.689112204,121,84,58,70,TRUE,Low
Lawrence Wright,42,Male,3.33749961,140,88,47,48,FALSE,Low
Jeremy Harmon,36,Male,4.097900648,121,97,76,65,FALSE,Low
Gabriel Nolan,23,Male,5.988619816,119,78,52,54,FALSE,High
Michael Roberts,40,Male,7.728777864,143,61,61,87,TRUE,High
Grace Patterson,38,Female,2.375795681,118,90,57,76,TRUE,Low
Misty Brooks,18,Male,2.978916925,126,66,49,75,TRUE,Low
Robert Mason,40,Female,9.319268423,82,68,77,72,TRUE,High
Yolanda Howard,45,Female,8.69048505,82,63,69,52,TRUE,High
Jody Alvarez,35,Female,5.335361692,142,86,92,95,TRUE,High
Micheal Allen,29,Male,1.200643295,106,100,71,72,FALSE,Low
Gary Boyd,27,Male,8.280358723,90,100,82,92,FALSE,High
Jessica Smith,20,Male,4.725149932,124,95,96,50,FALSE,Low
Steve Phillips,23,Male,2.844886545,87,71,42,78,TRUE,Low
Eric Smith,25,Male,6.844146139,86,57,87,59,TRUE,High
Angela Huffman,19,Male,7.578065644,97,57,88,55,TRUE,High
William Martinez,25,Male,6.493977291,107,54,90,47,FALSE,High
James Mason,44,Male,9.88050764,135,43,53,41,TRUE,High
Jonathan Burke,34,Female,6.113248182,123,72,90,100,FALSE,High
Teresa Simpson,40,Male,7.829874856,99,42,45,97,TRUE,High
Nicolas Shepard,31,Male,6.999439953,113,53,42,94,FALSE,High
Luke Mora,41,Male,8.732532954,91,40,98,80,FALSE,High
Heather Rodriguez,22,Female,6.347295717,126,51,54,100,FALSE,High
Robert Martin,22,Female,1.248029408,137,64,78,40,TRUE,Low
Dr. Robert Chavez,36,Female,6.855858396,123,87,81,65,TRUE,High
Jessica Ryan,40,Male,8.292312943,120,83,46,66,TRUE,High
Kimberly Harris,25,Female,9.163084367,114,98,97,48,FALSE,High
Melissa Wyatt,18,Female,7.17890079,103,78,42,88,FALSE,High
Andre Woods,38,Male,6.307054974,82,52,64,70,TRUE,High
Christopher Anderson,25,Male,1.195373453,130,76,81,42,FALSE,Low
Ashley Conrad,30,Male,7.657903082,134,94,93,70,FALSE,High
Bryan Richardson,21,Male,8.287757664,144,85,95,71,TRUE,High
Scott Clark,24,Male,1.093223914,81,47,85,90,FALSE,Low
Kimberly Campbell,37,Male,1.755839134,117,42,100,40,FALSE,Low
Sheila Potts,44,Female,2.478651539,89,43,68,94,FALSE,Low
Mr. David Gordon,37,Male,8.074354716,104,50,60,60,FALSE,High
Anna Diaz,41,Female,9.308802493,105,42,48,81,FALSE,High
Robert Johnson,23,Female,6.646554672,131,84,96,76,TRUE,High
Misty Sutton,19,Female,6.885683901,87,95,44,98,TRUE,High
Tiffany Powers,35,Female,5.844255094,117,83,82,73,FALSE,High
Monica Rogers,29,Female,4.200754735,143,52,87,91,TRUE,Low
Jennifer Lopez,31,Male,6.396383484,122,72,56,69,TRUE,High
Kayla Sims,41,Female,6.673740416,96,55,74,48,FALSE,High
Devon Moss,44,Female,6.423311384,120,80,54,57,TRUE,High
Mason Collins,44,Male,3.133991983,128,62,88,66,FALSE,Low
Juan Vasquez,24,Male,5.938480757,135,42,79,52,TRUE,High
Stacy Fischer,35,Male,9.022033877,88,71,40,62,TRUE,High
Aaron Williams,29,Male,1.74479365,134,40,72,98,TRUE,Low
Crystal Kirby,22,Male,3.812051098,135,96,86,47,FALSE,Low
Robert Wyatt,24,Male,9.516086544,124,51,49,98,TRUE,High
Brian Marshall,22,Female,2.26142575,90,60,97,81,FALSE,Low
Raymond Hammond,29,Female,9.578242444,119,54,95,90,TRUE,High
David Chung,30,Male,9.478893652,82,66,79,100,TRUE,High
Randy Russo,30,Female,9.247159109,90,49,63,66,TRUE,High
Denise Richards,28,Female,2.386242122,127,80,71,83,TRUE,Low
Kenneth Guerrero,43,Female,8.417413637,147,99,48,99,TRUE,High
Emily Reed,39,Female,5.915846742,145,44,75,84,FALSE,High
William Hopkins,25,Female,1.489468179,95,64,90,85,TRUE,Low
Michael White,33,Female,3.980631011,93,90,61,94,TRUE,Low
William Hendrix,18,Male,8.406888711,125,50,48,75,TRUE,High
Christopher Stanley,23,Female,4.823617188,82,67,54,85,TRUE,Low
Steven Smith,30,Male,8.461573639,113,83,67,74,FALSE,High
Joy Bentley,36,Female,7.236213863,87,99,97,82,FALSE,High
Sheri Stephens,35,Male,3.787464407,131,70,68,67,TRUE,Low
Daniel Hubbard,38,Female,7.43859233,100,60,90,84,TRUE,High
Timothy Summers,38,Male,9.797260684,106,75,50,49,FALSE,High
Kenneth Callahan,43,Female,6.080749937,125,50,58,72,FALSE,High
Louis Schultz,24,Female,7.634193144,81,78,69,88,FALSE,High
Tyler Goodman,29,Female,5.461349984,97,67,94,99,FALSE,High
Andrew Koch,25,Female,6.642152747,132,89,45,96,TRUE,High
Crystal Herrera,26,Female,8.567663904,124,53,94,93,FALSE,High
Jeffrey Cole,45,Female,4.255837089,138,61,77,58,TRUE,Low
Kristin Farley,24,Female,7.617607476,127,63,64,72,FALSE,High
Patricia Gonzales,30,Male,5.509509758,105,75,71,98,FALSE,High
William Johnson,33,Male,7.471444967,93,47,67,76,TRUE,High
Mia Jones,18,Female,3.735590605,112,94,81,47,FALSE,Low
Donald Freeman,39,Female,3.344212771,98,77,94,47,TRUE,Low
Luke Taylor DDS,44,Male,2.192276195,147,65,43,82,TRUE,Low
Riley Landry,44,Female,4.270438186,132,61,83,80,TRUE,Low
David Holmes,33,Female,3.434628808,84,87,59,87,TRUE,Low
George Parrish,27,Female,7.364278785,114,43,62,95,TRUE,High
Jennifer Sanchez,42,Female,3.04080415,138,55,88,64,FALSE,Low
Amanda Anthony,40,Male,6.634015977,90,59,59,75,FALSE,High
Curtis Taylor,38,Female,2.76846389,102,41,53,92,FALSE,Low
Oscar Spencer,37,Male,6.205131306,129,85,83,73,TRUE,High
David Gutierrez,26,Male,2.234777658,121,92,45,97,TRUE,Low
Stacy Knight,39,Male,6.324160078,119,75,98,82,TRUE,High
Michael Miller,29,Male,7.30568989,94,41,73,84,TRUE,High
Michael Weber,19,Male,2.947133853,123,48,41,96,TRUE,Low
Raymond Porter,19,Female,2.436569716,146,67,56,50,TRUE,Low
Samantha Miller,20,Female,4.754420361,147,64,57,89,TRUE,Low
Kendra Logan,32,Female,6.403453106,142,49,89,59,TRUE,High
Danny Simmons,44,Male,4.628806755,122,72,78,65,TRUE,Low
Catherine Hunt,44,Male,7.929747437,85,78,63,83,FALSE,High
Mr. Edward Love MD,28,Female,7.81663502,87,48,48,82,TRUE,High
Tracy Johnson,35,Female,9.756906475,90,61,52,65,FALSE,High
Matthew Bates,45,Female,1.826112702,115,40,63,76,FALSE,Low
Donna Sanders,41,Female,3.666165402,93,57,88,79,TRUE,Low
Shelby Martinez MD,29,Female,7.041189678,88,40,99,72,FALSE,High
Ryan Green,43,Female,3.621723208,111,54,73,82,FALSE,Low
Betty Williams,40,Female,3.941074961,149,50,88,60,FALSE,Low
Elizabeth Mckinney,19,Female,8.644882171,119,60,79,70,TRUE,High
Rhonda Young,25,Male,1.880016472,119,83,84,54,TRUE,Low
Sherri Weber,37,Female,3.849740131,136,98,54,78,TRUE,Low
John Grant,36,Female,6.817290211,140,100,94,70,TRUE,High
James Valentine,29,Male,7.319579063,129,63,86,51,FALSE,High
Kevin Martin,37,Male,7.162501047,146,92,56,60,TRUE,High
Thomas Cannon,39,Female,3.45293079,93,65,85,74,TRUE,Low
Michael Willis,32,Male,7.194974589,139,90,72,49,FALSE,High
Henry Murphy,42,Male,1.670733514,142,43,52,83,FALSE,Low
Amy Gaines,45,Female,8.633958521,106,49,48,45,TRUE,High
Cynthia Bentley,22,Male,5.711977463,117,87,85,40,TRUE,High
Heather Dyer,35,Male,2.012931317,103,75,86,91,TRUE,Low
Jennifer Mckay,23,Male,2.787243491,128,57,60,65,FALSE,Low
Tammy Barber,19,Female,2.377035248,104,49,45,50,TRUE,Low
Elizabeth Newman,40,Female,5.090706987,130,91,63,91,TRUE,High
Jack Pacheco,39,Female,4.591923122,132,49,42,69,FALSE,Low
Nathan Thomas,32,Male,9.808124339,146,74,47,65,FALSE,High
